CODPRO;NOMEPRO;DESCPROCORTAM;ESTPROCORTAM;PRCOMPRAPRO;PRVENDAPRO;DTCADPRO;;;
107.153;CAMISETA MASC M/C BASICA SLIM COLCCI;AZUL - P;1;42;109;25.10.2017;; R$ 42,00 ;109
118.508;CALCA MASC JEANS COMFORT BLUE PREPPYSLIM C/CORDAO ELLUS;JEANS - 36;1;199,9;489;20.07.2020;; R$ 199,90 ;489
106.367;PULSEIRA FEM DUPLA OURO DETA FOLHAS DONAIRE;OURO - UN;1;30;69;20.06.2017;; R$ 30,00 ;69
114.807;CAMISA MASC ML SLIM ARABICA ARAMIS;BRANCO - XGG;1;167,41;379;05.06.2019;; R$ 167,41 ;379
106.027;VESTIDO FEM EST OMBRO SO PACIFICO FARM;VERMELHO - P;1;169,5;379;02.05.2017;; R$ 169,50 ;379
104.955;BLUSA FEM CIGANINHA ESTAMPADA FARM;COBRA - P;2;99;219;24.02.2017;; R$ 198,00 ;438
114.808;CAMISA MASC ML SLIM PONTO PICADO ARAMIS;MARINHO - G;1;162,31;369;05.06.2019;; R$ 162,31 ;369
105.963;VESTIDO FEM REGATA DE COURO LIA DECOTE V CARMIM;PRETO - G;1;836;2.100,03;25.04.2017;; R$ 836,00 ;2100,03
104.551;CALCA FEM BICOLOR PATBO;PRETO - 40;1;545,45;1.208,99;26.01.2017;; R$ 545,45 ;1208,99
107.445;CALCA FEM SPORT RESORT NATURAL CARMIM;CAQUI - PP;1;180,5;447,01;20.11.2017;; R$ 180,50 ;447,01
114.809;BLUSA MASC ML TRICOT GOLA CARECA LISTRAS ARAMIS;PRETO - G;1;152,1;348,99;05.06.2019;; R$ 152,10 ;348,99
105.882;CAMISETA MASC M/C EST LOGO LIKE CALVIN KLEIN;BRANCO - P;1;63,18;139;13.04.2017;; R$ 63,18 ;139
104.554;VESTIDO FEM ML CURTO ALFAIATARIA EST. BAROQUE LITT;PRETO - 36;1;347;839,01;27.01.2017;; R$ 347,00 ;839,01
105.372;VESTIDO FEM C/M GOLA ALTA PATBO;VERDE - 38;1;540,9;1.199,01;17.03.2017;; R$ 540,90 ;1199,01
112.039;VESTIDO FEM ALCA LONGO LAISE BORDADO COLCCI;OFF WHITE - 36;1;554,19;1.245,00;09.10.2018;; R$ 554,19 ;1245
105.165;SAIA FEM LONGA ESTAMPADA MAS ANIMALE;MARINHO - P;2;135,45;319;09.03.2017;; R$ 270,90 ;638
104.836;BLUSA FEM REGATA BASICA FARM;VERDE CLARO - M;2;48,06;109;20.02.2017;; R$ 96,12 ;218
112.902;BRINCO FEM QUADRADO PEDRAS CHIARA DONAIRE;BORDO - UN;1;84;209;08.12.2018;; R$ 84,00 ;209
114.420;BOTA FEM CANO MEDIO COURO APLICACOES SCHUTZ;ROSA - 34;1;274,42;590;29.04.2019;; R$ 274,42 ;590
107.907;CAMISA M/L MASC MAQUINETADA LISTRADA COMFORT VR;BRANCO - 38;1;123,31;299;31.01.2018;; R$ 123,31 ;299
114.809;BLUSA MASC ML TRICOT GOLA CARECA LISTRAS ARAMIS;MARINHO - M;1;152,1;348,99;05.06.2019;; R$ 152,10 ;348,99
107.861;OCULOS MASC SOL ESPELHADO AVIADOR CRM42287 CARMIM;CHUMBO - UN;1;129;329;24.01.2018;; R$ 129,00 ;329
114.809;BLUSA MASC ML TRICOT GOLA CARECA LISTRAS ARAMIS;MARINHO - P;1;152,1;348,99;05.06.2019;; R$ 152,10 ;348,99
113.412;VESTIDO FEM MC CURTO ELASTANO COLCCI;LILAS - PP;2;129,1;290;12.02.2019;; R$ 258,20 ;580
113.412;VESTIDO FEM MC CURTO ELASTANO COLCCI;LILAS - P;2;129,1;290;12.02.2019;; R$ 258,20 ;580
